企业名称,经营状态,信用代码,省份,城市,区域,城市基建,能源,交通,水利,工业服务,施工,设计/EPC,投资,其他,EPC,已清洗
湖南利诚园林绿化工程有限公司,存续,91430121MABM2D5Q86,湖南省,长沙,长沙,传统施工,,,,,施工,,,,,#N/A
湖南利德电子浆料股份有限公司,存续,91430200670780325A,湖南省,株洲,天元,,,,,工业服务,,,社投,,,#N/A
湖南利德金属结构有限责任公司,存续,914302007431921703,湖南省,株洲,芦淞,传统施工,,,,,施工,,,,,#N/A
湖南利尔康生物股份有限公司,存续,91430600678045624H,湖南省,岳阳,岳阳,,,,,工业服务,,,社投,,,#N/A
湖南利港航务工程有限公司,存续,91430100MA4PN9T60C,湖南省,长沙,岳麓,,,,,,施工,,,,,#N/A
湖南利广建设工程有限公司,存续,91431200MA4R63YF9P,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,91431200MA4R63YF9P
湖南利国建设有限公司,存续,91431221MA4T63KN7A,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,#N/A
湖南利航生态环境科技有限公司,存续,91430602MABTEA3N4R,湖南省,岳阳,岳阳楼,环境环保,,,,,,,社投,,,#N/A
湖南利和建设有限公司,存续,91430111MA4LNW4W3Y,湖南省,长沙,天心,,,,,,施工,,,,,#N/A
湖南利佳建筑有限公司,存续,91430624MA4T86DA5E,湖南省,岳阳,湘阴,传统施工,,,,,施工,,,,,#N/A
湖南利家成装饰工程有限公司,存续,91430111MA4RNYK55X,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南利捷建设有限公司,存续,91430104MA4R606939,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南利君建工系统有限公司,存续,91430100696215711Q,湖南省,长沙,长沙,传统施工,,,,,施工,,,,,#N/A
湖南利凯建设有限公司,存续,91430103MA7LRRPH8G,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
湖南利康环境工程有限公司,存续,91430111MA4LAMNB47,湖南省,长沙,雨花,环境环保,,,,,施工,,,,,#N/A
湖南利坤岩土工程有限责任公司,存续,91430111MA4PEUMY34,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
湖南利隆铭远建设工程有限公司,存续,91431000MA4P998W3Q,湖南省,郴州,北湖,传统施工,,,,,施工,,,,,#N/A
湖南利群建筑工程有限公司,存续,91430600MA4LNNKK28,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南利盛园林建设工程有限公司,存续,91430124MA4L4ATC5Y,湖南省,长沙,宁乡,传统施工,,,,,施工,,,,,#N/A
湖南利通安建工程有限公司,存续,91430104MA4R88GKX6,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南利兴电力有限公司,存续,91430681MABXJC9K4B,湖南省,郴州,桂阳,,,,,,,,社投,,,#N/A
湖南利远建设有限公司,存续,91430000395347825N,湖南省,长沙,开福,传统施工,,,,,施工,,,,,91430000395347825N
湖南利泽建设有限公司,存续,91431200MA4R40F73J,湖南省,常德,武陵,传统施工,,,,,施工,,,,,#N/A
湖南利之星建筑工程有限公司,存续,91430100MA7F6MKQ6J,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南沥洋建设工程有限公司,存续,91430103MA4QPUFD8M,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
湖南俪璟园林建筑工程有限公司,存续,91430181MAD4PUJX3T,湖南省,长沙,浏阳,传统施工,,,,,施工,,,,,#N/A
湖南栗坪德法自来水有限公司,存续,91430522MA4R0JMP5D,湖南省,邵阳,新邵,供水(自来水）,,,,,,,社投,,,#N/A
湖南连朗建筑有限公司,存续,91430621MA4QNWLM49,湖南省,岳阳,岳阳,传统施工,,,,,施工,,,,,#N/A
湖南连升建筑工程有限公司,存续,91433101MAD3A37M0F,湖南省,湘西,吉首,传统施工,,,,,施工,,,,,#N/A
湖南连珠建设集团有限公司,存续,91430800MA4LQLEE6E,湖南省,张家界,永定,传统施工,,,,,施工,,,,,91430800MA4LQLEE6E
湖南莲城工程项目管理有限公司,存续,91430382MA4RNE9N8H,湖南省,湘潭,韶山,,,,,,,,,监理,,#N/A
湖南莲城环境科技有限公司,存续,91430321MA4Q6JGB4L,湖南省,湘潭,湘潭,环境环保,,,,,,,社投,,,#N/A
湖南莲城机械化工程有限责任公司,存续,914303000959199590,湖南省,湘潭,岳塘,传统施工,,,,,施工,,,,,914303000959199590
湖南莲花建筑机械工程有限公司,存续,91430100745923934M,湖南省,长沙,望城,传统施工,,,,,施工,,,,,#N/A
湖南莲花江建筑工程有限公司,存续,91431000MA4LGC1691,湖南省,郴州,苏仙,传统施工,,,,,施工,,,,,91431000MA4LGC1691
湖南莲源工程建设有限公司,存续,91430121MA4T5GEX04,湖南省,长沙,开福,传统施工,,,,,施工,,,,,#N/A
湖南涟钢福安建设有限公司,存续,91431300745944794X,湖南省,娄底,娄星,传统施工,,,,,施工,,,,,91431300745944794X
湖南涟钢工程技术有限公司,存续,91431302MA4LRXLN2L,湖南省,娄底,娄星,传统施工,,,,,,设计EPC,,,,#N/A
湖南涟钢机电设备制造有限公司,存续,91431300745923731P,湖南省,娄底,娄星,传统施工,,,,,施工,,,,,#N/A
湖南涟钢建设有限公司,存续,91431300707444895X,湖南省,娄底,娄星,传统施工,,,,,施工,,,,,91431300707444895X
湖南涟钢振兴有限公司,存续,9143130018740395X0,湖南省,娄底,娄星,环境环保,,,,,,设计,,,,9143130018740395X0
湖南涟泉市政建设工程有限公司,存续,91430100MA4QC3TH51,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南涟邵建设工程（集团）第一安装工程有限公司,存续,9143130075800542XQ,湖南省,娄底,娄星,传统施工,,,,,施工,,,,,#N/A
湖南涟邵建设工程（集团）第一建筑工程有限公司,存续,91431300557643230P,湖南省,娄底,娄星,传统施工,,,,,施工,,,,,#N/A
湖南涟邵建设工程（集团）有限责任公司,存续,91431300732845535F,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,#N/A
湖南涟水建设工程有限公司,存续,91431300MA4LU4M32L,湖南省,娄底,娄星,传统施工,,,,,施工,,,,,91431300MA4LU4M32L
湖南涟新矿山建设有限公司,存续,91430102MA4LC6JH5U,湖南省,长沙,芙蓉,,,,,,施工,,,,,91430102MA4LC6JH5U
湖南涟宇园林建筑工程有限公司,存续,91431300MA7JE4MP9P,湖南省,娄底,娄星,传统施工,,,,,施工,,,,,#N/A
湖南联畅清洁能源有限公司,存续,91430111MACED34X61,湖南省,岳阳,临湘,城市燃气,,,,,,,社投,,,#N/A
湖南联城暖通工程有限公司,存续,914301115932551556,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,#N/A
湖南联创项目管理有限公司,存续,91430602554916707A,湖南省,岳阳,岳阳楼,传统施工,,,,,施工,,,,,#N/A
湖南联达路桥建设有限公司,存续,91430300053884487B,湖南省,湘潭,湘潭,,,,,,施工,,,,,#N/A
湖南联舫建筑工程有限公司,存续,91431200MA7HBKC30H,湖南省,怀化,鹤城,传统施工,,,,,施工,,,,,#N/A
湖南联丰建设集团有限公司,存续,91430104MA4T7J7A7Q,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南联港建设有限公司,存续,91430602MA4RM7W875,湖南省,岳阳,岳阳楼,传统施工,,,,,施工,,,,,#N/A
湖南联工建设有限公司,存续,91430103MA7GTW1P04,湖南省,长沙,望城,传统施工,,,,,施工,,,,,#N/A
湖南联瀚防腐保温工程有限公司,存续,91430104MA4RLW5K6X,湖南省,湘潭,雨湖,传统施工,,,,,施工,,,,,#N/A
湖南联灏装饰有限公司,存续,91430528MA4RGBJR8P,湖南省,邵阳,新宁,传统施工,,,,,施工,,,,,#N/A
湖南联合城市建设集团有限公司,存续,91430221722521852Y,湖南省,株洲,株洲,传统施工,,,,,施工,,,,,91430221722521852Y
湖南联合工程管理有限公司,存续,91430200707246004U,湖南省,株洲,天元,传统施工,,,,,施工,,,,,91430200707246004U
湖南联恒建设工程有限公司,存续,91430105MA4TB4N16R,湖南省,长沙,开福,传统施工,,,,,施工,,,,,#N/A
湖南联弘通信科技有限公司,存续,91430111MA4T2F6N9D,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,#N/A
湖南联狐新能源有限公司,存续,91430112MA4RTA3U93,湖南省,怀化,鹤城,,,,,,,,社投,,,#N/A
湖南联嘉建筑工程有限公司,存续,91430111MA4PUCE375,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南联开园林绿化有限公司,存续,91430600MA4RXM8G0C,湖南省,岳阳,岳阳楼,传统施工,,,,,施工,,,,,#N/A
湖南联科环境工程有限公司,存续,91430102MA4L62NK1W,湖南省,长沙,芙蓉,环境环保,,,,,施工,,,,,#N/A
湖南联科建设工程有限公司,存续,91430111MA4QHY4C7W,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南联科园林绿化有限公司,存续,91430102MA4QL1QB0C,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,#N/A
湖南联良亿工程有限公司,存续,91430104MA4RKHU21J,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南联明能源科技有限公司,存续,914301003364149440,湖南省,湘潭,雨湖,城市燃气,,,,,,,社投,,,#N/A
湖南联庆建筑工程有限公司,存续,91430723MA7C7C1750,湖南省,常德,澧县,,,,水利,,施工,,,,,#N/A
湖南联瑞筑工装饰有限公司,存续,91430103MA7JEQJN38,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南联绅机电科技有限公司,存续,9143011177903393XG,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南联深建设有限公司,存续,91430211MA4R1GKEXY,湖南省,株洲,石峰,传统施工,,,,,施工,,,,,#N/A
湖南联盛建设工程有限公司,存续,91430100081369212G,湖南省,长沙,开福,传统施工,,,,,施工,,,,,91430100081369212G
湖南联盛勘察设计有限公司,存续,91431000673555334L,湖南省,郴州,北湖,,,,,,,设计,,,,#N/A
湖南联顺建设有限公司,存续,914310276918307237,湖南省,郴州,桂东,传统施工,,,,,施工,,,,,#N/A
湖南联拓建设工程有限公司,存续,91431000691831793H,湖南省,郴州,北湖,传统施工,,,,,施工,,,,,91431000691831793H
湖南联泰嘉禾环境科技有限公司,存续,91431024MA4Q9G5U84,湖南省,郴州,嘉禾,水务,,,,,,,社投,,,#N/A
湖南联田市政建设有限公司,存续,91430600MA4PABYWXY,湖南省,岳阳,云溪,传统施工,,,,,施工,,,,,91430600MA4PABYWXY
湖南联威机电设备有限公司,存续,91430200338404950E,湖南省,株洲,芦淞,传统施工,,,,,施工,,,,,#N/A
湖南联伟建筑工程有限公司,存续,91430124MA7B63K59L,湖南省,长沙,开福,传统施工,,,,,施工,,,,,#N/A
湖南联新电力有限公司,存续,91430304MADJLMN257,湖南省,娄底,涟源,,,,,,,,社投,,,#N/A
湖南联信建设工程有限公司,存续,91431100MA4R142F08,湖南省,永州,宁远,传统施工,,,,,施工,,,,,#N/A
湖南联旭建设工程有限公司,存续,91430103MA7JM40K1E,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南联赢园林景观建设有限公司,存续,91430181MA4RPBBQ88,湖南省,长沙,浏阳,传统施工,,,,,施工,,,,,#N/A
湖南联优电力建设有限公司,存续,91430111MADFDJPX62,湖南省,郴州,桂阳,,,,,,,,社投,,,#N/A
湖南联宇新能源有限公司,存续,91430321MADHCXQ07K,湖南省,长沙,雨花,,,,,,,,社投,,,#N/A
湖南联运望云山新能源开发有限公司,存续,914305240929322269,湖南省,怀化,沅陵,,,,,,,,社投,,,#N/A
湖南联众建设集团有限公司,存续,91430000559538303X,湖南省,长沙,长沙,传统施工,,,,,施工,,,,,91430000559538303X
湖南廉雅建筑工程有限公司,存续,91430100MA7BNGEY6R,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南良成安装工程有限公司,存续,91430600344688611A,湖南省,岳阳,云溪,传统施工,,,,,施工,,,,,#N/A
湖南良诚建设有限公司,存续,91430111MA7EXCMC3L,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南良东建设工程有限公司,存续,91430211MA4Q8YLWXU,湖南省,株洲,炎陵,传统施工,,,,,施工,,,,,#N/A
湖南良尔园林绿化有限公司,存续,91430121MA4QFHFF47,湖南省,长沙,长沙,传统施工,,,,,施工,,,,,#N/A
湖南良固建筑工程有限公司,存续,91430104MA4RWYFQ42,湖南省,株洲,醴陵,传统施工,,,,,施工,,,,,#N/A
湖南良鸿园林工程有限公司,存续,91430600MA4Q4HBF97,湖南省,岳阳,岳阳楼,传统施工,,,,,施工,,,,,#N/A
湖南良华园林绿化有限公司,存续,91430281MA4R8U9CX6,湖南省,株洲,醴陵,传统施工,,,,,施工,,,,,#N/A
湖南良林建设工程有限公司,存续,91430224553043166N,湖南省,株洲,茶陵,传统施工,,,,,施工,,,,,91430224553043166N
湖南良曼建筑工程有限公司,存续,91430111MA7M3XBW8F,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南良启建筑工程有限公司,存续,91430602MA4RU2LA3P,湖南省,邵阳,大祥,传统施工,,,,,施工,,,,,#N/A
湖南良兴环境治理有限责任公司,存续,91430900MA4Q83886Y,湖南省,益阳,南县,环境环保,,,,,,,社投,,,#N/A
湖南良友园林绿化工程有限公司,存续,91431003MA4QT25U98,湖南省,郴州,苏仙,传统施工,,,,,施工,,,,,#N/A
湖南良禹建设工程有限公司,存续,91431100599446331B,湖南省,永州,永州,,,,,,施工,,,,,#N/A
湖南良誉建设有限公司,存续,914301043385487001,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南良运建筑工程有限公司,存续,91430111572246364L,湖南省,长沙,宁乡,传统施工,,,,,施工,,,,,#N/A
湖南梁宸建设有限公司,存续,91430111MA4LM37T3H,湖南省,常德,汉寿,传统施工,,,,,施工,,,,,91430111MA4LM37T3H
湖南两岸建筑工程有限公司,存续,91430111MA4RDT5G1T,湖南省,娄底,娄星,传统施工,,,,,施工,,,,,#N/A
湖南两山环境科技有限公司,存续,91430700MA4RPXXN3K,湖南省,常德,武陵,环境环保,,,,,,,社投,,,#N/A
湖南亮典照明科技有限公司,存续,91430102760700915E,湖南省,长沙,开福,传统施工,,,,,施工,,,,,#N/A
湖南亮辉工程有限公司,存续,91431382MA4QTP6539,湖南省,娄底,涟源,传统施工,,,,,施工,,,,,#N/A
湖南亮科电力建设有限公司,存续,91430400MACGD4L763,湖南省,衡阳,珠晖,,,,,,施工,,,,,#N/A
湖南亮利建筑工程有限公司,存续,91430200MA4QX296X1,湖南省,株洲,石峰,传统施工,,,,,施工,,,,,#N/A
湖南亮亮建筑有限公司,存续,91430521MA4R642A75,湖南省,邵阳,邵阳,传统施工,,,,,施工,,,,,#N/A
湖南亮庆生态环境工程有限公司,存续,91430623MAE2YC9C8A,湖南省,岳阳,华容,环境环保,,,,,施工,,,,,#N/A
湖南亮轩园林绿化有限公司,存续,91430181MAC5HFKK8W,湖南省,长沙,浏阳,传统施工,,,,,施工,,,,,#N/A
湖南亮雅园林工程有限公司,存续,91430602MA4R2HJA9R,湖南省,岳阳,岳阳楼,传统施工,,,,,施工,,,,,#N/A
湖南量能新能源有限责任公司,存续,91430104MACYDP6T4Q,湖南省,张家界,桑植,,,,,,,,社投,,,#N/A
湖南辽海钢结构有限公司,存续,91430100MA4LCUCR86,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南列鲸电力有限公司,存续,91430181MACNBUTH5D,湖南省,长沙,浏阳,,,,,,,,社投,,,#N/A
湖南猎豹建设集团有限公司,存续,91430700MA4LBAA12U,湖南省,常德,汉寿,传统施工,,,,,施工,,,,,91430700MA4LBAA12U
湖南林安电力工程有限公司,存续,91430400MAD9NT847P,湖南省,衡阳,蒸湘,,,,,,施工,,,,,#N/A
湖南林城园林工程有限公司,存续,91431121MA4QGX7U54,湖南省,永州,永州,传统施工,,,,,施工,,,,,#N/A
湖南林德工程有限公司,存续,91430321MA4PW00CXX,湖南省,湘潭,湘潭,传统施工,,,,,施工,,,,,#N/A
湖南林莱工程建设有限公司,存续,91430104MA4R6M2712,湖南省,湘潭,岳塘,传统施工,,,,,施工,,,,,#N/A
湖南林立建筑工程有限公司,存续,91430400689514641N,湖南省,长沙,浏阳,传统施工,,,,,施工,,,,,#N/A
湖南林立园林绿化工程有限公司,存续,91430121MA4RCH6M95,湖南省,长沙,长沙,传统施工,,,,,施工,,,,,#N/A
湖南林茂园林绿化有限公司,存续,91430121MA4QKEXK9K,湖南省,长沙,长沙,传统施工,,,,,施工,,,,,#N/A
湖南林能电力建设有限公司,存续,91430111557617577F,湖南省,株洲,茶陵,,,,,,施工,,,,,#N/A
湖南林森建筑有限公司,存续,91431000325624014M,湖南省,郴州,北湖,传统施工,,,,,施工,,,,,#N/A
湖南林阳建设工程有限责任公司,存续,91430103MA4PCWFEX7,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
湖南林业机电安装有限责任公司,存续,914311007680411257,湖南省,永州,冷水滩,传统施工,,,,,施工,,,,,#N/A
湖南林一建设工程有限公司,存续,91430100MA4Q7T3Q7B,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,91430100MA4Q7T3Q7B
湖南林怡建设工程有限公司,存续,914301003996948400,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
湖南林源园林建设工程有限公司,存续,91430524MAD4EHC548,湖南省,邵阳,隆回,传统施工,,,,,施工,,,,,#N/A
湖南临楚建筑工程有限公司,存续,91430111MA4QX5773L,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南临港建设有限公司,存续,9143060039969594XG,湖南省,岳阳,君山,传统施工,,,,,施工,,,,,9143060039969594XG
湖南临港开发投资集团有限公司,存续,91430600682841420E,湖南省,岳阳,云溪,传统施工,,,,,,,公投,,,91430600682841420E
湖南临湘龙源供水有限公司,存续,91430682186330648H,湖南省,岳阳,临湘,供水(自来水）,,,,,,,社投,,,#N/A
湖南琳达环境科技有限公司,存续,91430200MA4QLGW186,湖南省,株洲,天元,环境环保,,,,,,,社投,,,#N/A
湖南琳曦园林景观有限责任公司,存续,91430181MACCXEB08K,湖南省,长沙,浏阳,传统施工,,,,,施工,,,,,#N/A
湖南霖辰园林绿化工程有限公司,存续,91430822MAC3Q3DQ7W,湖南省,张家界,桑植,传统施工,,,,,施工,,,,,#N/A
湖南霖创建筑工程有限公司,存续,91431000MA4RT0N97Q,湖南省,长沙,宁乡,传统施工,,,,,施工,,,,,#N/A
湖南霖大饮用水有限公司,存续,91430111MADKKW005F,湖南省,长沙,雨花,供水(自来水）,,,,,,,社投,,,#N/A
湖南霖霏建筑工程有限公司,存续,91430111MA4LURFM6G,湖南省,湘潭,岳塘,传统施工,,,,,施工,,,,,#N/A
湖南霖鹏环境科技有限公司,存续,91431000MA4R7ETP4N,湖南省,郴州,北湖,环境环保,,,,,,,社投,,,#N/A
湖南霖腾园林绿化工程有限公司,存续,91430181MA4T82PD55,湖南省,长沙,浏阳,传统施工,,,,,施工,,,,,#N/A
湖南霖伍贰霖园林绿化工程有限公司,存续,91430181MA4TGT5H8P,湖南省,长沙,浏阳,传统施工,,,,,施工,,,,,#N/A
湖南霖淅建筑工程有限公司,存续,91430121MA7HTDN64E,湖南省,长沙,长沙,传统施工,,,,,施工,,,,,#N/A
湖南霖轩镁宏实业有限公司,存续,9143011168950956XL,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南霖钰消防科技有限公司,存续,91430121338567880T,湖南省,长沙,长沙,传统施工,,,,,施工,,,,,#N/A
湖南霖跃建设工程有限公司,存续,91430521MACR8GEL1Q,湖南省,邵阳,邵阳,传统施工,,,,,施工,,,,,#N/A
湖南霖云建筑工程有限公司,存续,91430102MA4Q9UB25F,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,#N/A
湖南麟诚电力有限公司,存续,91430121MA4QFLKD05,湖南省,郴州,北湖,,,,,,,,社投,,,#N/A
湖南麟辉建设集团有限公司,存续,9143012218417432X3,湖南省,长沙,望城,,,,,,施工,,,,,#N/A
湖南灵净能源发展有限公司,存续,91430102MA4T8X8D19,湖南省,常德,桃源,城市燃气,,,,,,,社投,,,#N/A
湖南瓴顺建设工程有限公司,存续,91430104MA7ADP9PXH,湖南省,邵阳,北塔,传统施工,,,,,施工,,,,,#N/A
湖南凌道发建设工程有限公司,存续,91430111MA4Q20HC5K,湖南省,长沙,雨花,传统施工,,,,,施工,,,,,#N/A
湖南凌鼎建设工程有限公司,存续,91430300MA4QA8F265,湖南省,湘潭,岳塘,传统施工,,,,,施工,,,,,#N/A
湖南凌灏建设有限公司,存续,91430300MA4R8UR068,湖南省,湘潭,岳塘,传统施工,,,,,施工,,,,,#N/A
湖南凌恒售电有限公司,存续,91430100MA4L11TW8P,湖南省,怀化,中方,,,,,,,,社投,,,#N/A
湖南凌宏新能源有限公司,存续,91430700MACU135L3R,湖南省,衡阳,耒阳,城市燃气,,,,,,,社投,,,#N/A
湖南凌璟建设工程有限公司,存续,91430300MA4R5XGD4K,湖南省,湘潭,岳塘,传统施工,,,,,施工,,,,,#N/A
湖南凌聚新能源有限公司,存续,91431022MABQ1LAK0W,湖南省,郴州,北湖,,,,,,,,社投,,,#N/A
湖南凌立建筑工程有限公司,存续,91430100MA4L6XHX4A,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,#N/A
湖南凌隆建设工程有限公司,存续,91431200MA4T57701L,湖南省,衡阳,衡阳,传统施工,,,,,施工,,,,,#N/A
湖南凌明建设工程有限公司,存续,91430100595459733G,湖南省,长沙,开福,,,,,,施工,,,,,#N/A
湖南凌墨建筑工程有限公司,存续,91430104MA7LE4HJX2,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南凌强建设有限公司,存续,91430100074959652K,湖南省,常德,临澧,传统施工,,,,,施工,,,,,#N/A
湖南凌仁建设有限公司,存续,91430700MA4TBEEH7Y,湖南省,常德,武陵,传统施工,,,,,施工,,,,,#N/A
湖南凌瑞建设工程有限公司,存续,91430203MA4PRFFE5Q,湖南省,株洲,石峰,传统施工,,,,,施工,,,,,#N/A
湖南凌瑞新能源有限公司,存续,91430100MA7J92LPX4,湖南省,长沙,宁乡,,,,,,,,社投,,,#N/A
湖南凌盛时睿建设工程有限公司,存续,91430202MA4RXF501T,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,91430202MA4RXF501T
湖南凌天建设有限公司,存续,91431200MA4RDNUU9J,湖南省,怀化,鹤城,传统施工,,,,,施工,,,,,#N/A
湖南凌天科技有限公司,存续,91430300738985037K,湖南省,湘潭,雨湖,传统施工,,,,,施工,,,,,#N/A
湖南凌天威龙水下工程有限公司,存续,91430300MAC2AT9F45,湖南省,湘潭,雨湖,,,,水利,,施工,,,,,#N/A
湖南凌通建筑工程有限公司,存续,91430103MA7FQ8LT89,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
湖南凌晓电力有限公司,存续,91430400MADW2XMR1G,湖南省,娄底,涟源,,,,,,,,社投,,,#N/A
湖南凌鹰园艺建设有限公司,存续,914306007808917392,湖南省,岳阳,岳阳楼,传统施工,,,,,施工,,,,,#N/A
湖南凌源建筑防水工程有限公司,存续,91430102MA4L62GA5X,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,#N/A
湖南凌云电力工程有限公司,存续,91430611680332403R,湖南省,岳阳,君山,传统施工,,,,,施工,,,,,#N/A
湖南凌云建设有限公司,存续,91430381070590907E,湖南省,湘潭,湘乡,传统施工,,,,,施工,,,,,#N/A
湖南凌志建设集团有限公司,存续,91430500550745111N,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南菱菱电梯有限公司,存续,91430104MA4QNKYUX7,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南羚峡建筑工程有限公司,存续,91430105MA4TBWYQ7F,湖南省,长沙,开福,传统施工,,,,,施工,,,,,#N/A
湖南零陵恒远发电设备有限公司,存续,914311007700750256,湖南省,永州,冷水滩,传统施工,,,,,施工,,,,,#N/A
湖南零缺陷防水工程有限公司,存续,91430105MA4QH0CU2U,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,#N/A
湖南酃城建设工程有限公司,存续,91430225MA4RLPL563,湖南省,株洲,炎陵,传统施工,,,,,施工,,,,,#N/A
湖南酃峰建设工程有限公司,存续,91430200394195524R,湖南省,株洲,茶陵,传统施工,,,,,施工,,,,,#N/A
湖南酃盛建设工程有限公司,存续,91430104MA4RQYJG5Y,湖南省,株洲,炎陵,传统施工,,,,,施工,,,,,91430104MA4RQYJG5Y
湖南岭鸿园林绿化工程有限公司,存续,91430124MA4T68603B,湖南省,长沙,宁乡,传统施工,,,,,施工,,,,,#N/A
湖南岭臻园林景观工程有限公司,存续,91430181MA4RCWN40Y,湖南省,长沙,浏阳,传统施工,,,,,施工,,,,,#N/A
湖南领奥建设有限公司,存续,91431000MA4Q2XLE7P,湖南省,郴州,桂东,传统施工,,,,,施工,,,,,#N/A
湖南领邦建设有限公司,存续,91430121MA4T2Y6B28,湖南省,长沙,长沙,传统施工,,,,,施工,,,,,#N/A
湖南领超建筑有限公司,存续,91430102MA4RUN38XC,湖南省,长沙,望城,传统施工,,,,,施工,,,,,#N/A
湖南领楚建设工程有限公司,存续,91430105MA7AWJ3M4E,湖南省,娄底,娄星,传统施工,,,,,施工,,,,,#N/A
湖南领创建设工程有限公司,存续,91430100MA4RX3HPXL,湖南省,长沙,宁乡,传统施工,,,,,施工,,,,,#N/A
湖南领创路桥有限公司,存续,91430121MA4TAA0X26,湖南省,长沙,长沙,,,,,,施工,,,,,91430121MA4TAA0X26
湖南领发建设有限公司,存续,91430112MA4T1U2K4H,湖南省,长沙,宁乡,传统施工,,,,,施工,,,,,#N/A
湖南领飞建设工程有限公司,存续,91430103MA4T1W2F93,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
湖南领国建设工程有限公司,存续,91430104MA7AURJR8G,湖南省,邵阳,双清,传统施工,,,,,施工,,,,,#N/A
湖南领汉建设工程有限公司,存续,91430103MA7AUMEG2J,湖南省,岳阳,平江,传统施工,,,,,施工,,,,,#N/A
湖南领凰建设工程有限公司,存续,91430103MA7AM6MN3Q,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
湖南领军建筑装饰有限公司,存续,91430100MA4TC6TT42,湖南省,长沙,开福,传统施工,,,,,施工,,,,,#N/A
湖南领派建设工程有限公司,存续,91430104MA7AWEDC2C,湖南省,长沙,岳麓,传统施工,,,,,施工,,,,,#N/A
湖南领湃建设工程有限公司,存续,91420600MA49N3WL1F,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
湖南领湃科技集团股份有限公司,存续,91440101745998274Y,湖南省,衡阳,#N/A,,,,,工业服务,,,社投,,,#N/A
湖南领尚园林有限公司,存续,91430181MA4QHTR60P,湖南省,长沙,浏阳,传统施工,,,,,施工,,,,,#N/A
湖南领拓建设有限公司,存续,91430103MA4QMC9R97,湖南省,长沙,芙蓉,传统施工,,,,,施工,,,,,#N/A
湖南领先建设工程有限公司,存续,91430181MA4RXTWL30,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
湖南领信建造工程有限公司,存续,91430121670788386M,湖南省,长沙,长沙,传统施工,,,,,施工,,,,,#N/A
湖南领展建设有限公司,存续,91431200MA4RXWH63Q,湖南省,怀化,鹤城,传统施工,,,,,施工,,,,,#N/A
湖南领筑建设工程有限公司,存续,91430104MA4T4JJA70,湖南省,长沙,天心,传统施工,,,,,施工,,,,,#N/A
