企业名称,经营状态,信用代码,省份,城市,区域,城市基建,能源,交通,水利,工业服务,施工,设计/EPC,投资,其他,EPC,已清洗
安化县资天建筑工程有限公司,存续,91430923740602162B,湖南省,益阳,安化,传统施工,,,,,施工,,,,,#N/A
安化县自来水公司,存续,914309231873653672,湖南省,益阳,安化,供水(自来水）,,,,,,,社投,,,#N/A
安化湘资水利水电建筑工程有限责任公司,存续,91430923730520227Q,湖南省,益阳,安化,,电力,,,,施工,,,,,91430923730520227Q
安化兴旺环境治理有限公司,存续,91430923MA4M63H89E,湖南省,益阳,安化,环境环保,,,,,,,社投,,,#N/A
安化训昌新能源有限公司,存续,91430923MAD7QQEP31,湖南省,长沙,岳麓,,电力,,,,,,社投,,,#N/A
安化益民能源有限公司,存续,91430923MA7GTJGT3M,湖南省,永州,冷水滩,城市燃气,,,,,,,社投,,,#N/A
安化优能电力建设有限公司,存续,91430923MADNM6P151,湖南省,益阳,赫山,,电力,,,,,,社投,,,#N/A
安化云天建筑有限公司,存续,91430923758040292Q,湖南省,益阳,安化,传统施工,,,,,施工,,,,,#N/A
安化振秀园林绿化有限公司,存续,91430923MABRKKJB6U,湖南省,益阳,安化,传统施工,,,,,施工,,,,,#N/A
安化中燃城市燃气有限公司,存续,91430923MA4QE0TT6T,湖南省,邵阳,武冈,城市燃气,,,,,,,社投,,,#N/A
安克创新科技股份有限公司,存续,91430111587017150P,湖南省,长沙,岳麓,,,,,工业服务,,,社投,,,#N/A
安仁京能清洁能源有限公司,存续,91431028MACYH11L33,湖南省,永州,永州,城市燃气,,,,,,,社投,,,#N/A
安仁县安平自来水有限公司,存续,9143102844772470XT,湖南省,郴州,安仁,供水(自来水）,,,,,,,社投,,,#N/A
安仁县海特燃气有限公司,存续,91431028576562057T,湖南省,长沙,宁乡,城市燃气,,,,,,,社投,,,#N/A
安仁县家娇园林绿化工程有限公司,存续,91431028MA7AUX678N,湖南省,郴州,安仁,传统施工,,,,,施工,,,,,#N/A
安仁县快易充新能源科技有限责任公司,存续,91431028MAE2997Y06,湖南省,娄底,娄底,,电力,,,,,,社投,,,#N/A
安仁县峦峰园林有限责任公司,存续,91431028MAC2UT0F6B,湖南省,郴州,安仁,传统施工,,,,,施工,,,,,#N/A
安仁县农泉自来水有限公司,存续,91431028MA7AWRN463,湖南省,郴州,安仁,供水(自来水）,,,,,,,社投,,,#N/A
安仁县农业发展有限公司,存续,914310286685612033,湖南省,郴州,安仁,传统施工,,,,,,,社投,,,#N/A
安仁县仁城建筑工程有限公司,存续,91431028MA4QEQMG6P,湖南省,郴州,安仁,传统施工,,,,,施工,,,,,91431028MA4QEQMG6P
安仁县仁城燃气有限公司,存续,91431028MA4TEFNW6X,湖南省,邵阳,武冈,城市燃气,,,,,,,社投,,,#N/A
安仁县仁城水务有限责任公司,存续,91431028MA4RWYDT6Y,湖南省,郴州,安仁,水务,,,,,,,社投,,,#N/A
安仁县星城建筑有限责任公司,存续,9143102877008321XH,湖南省,郴州,安仁,传统施工,,,,,施工,,,,,#N/A
安仁县一诺水利水电工程有限公司,存续,914310287406201092,湖南省,郴州,安仁,,电力,,,,施工,,,,,#N/A
安仁县永乐水利水电勘测设计有限公司,存续,91431028698560586L,湖南省,郴州,安仁,,电力,,,,,设计,,,,#N/A
安仁县自来水有限责任公司,存续,91431028447722480R,湖南省,郴州,安仁,供水(自来水）,,,,,,,社投,,,#N/A
安仁县左干坝电站有限公司,存续,914310283448570324,湖南省,郴州,安仁,水务,,,,,,,社投,,,#N/A
安仁湘昱新能源科技有限公司,存续,91431028MAD5JR8C17,湖南省,张家界,慈利,,电力,,,,,,社投,,,#N/A
安乡慧众能源有限责任公司,存续,91430721MADNDYP120,湖南省,常德,安乡,城市供热,,,,,,,社投,,,#N/A
安乡利全水源工程建筑有限公司,存续,91430721MAD5KC7K5H,湖南省,常德,安乡,,,,水利,,施工,,,,,#N/A
安乡文浩园林工程有限公司,存续,91430721MABWTDLB39,湖南省,常德,安乡,传统施工,,,,,施工,,,,,#N/A
安乡县安淼水务有限公司,存续,91430721186640291K,湖南省,常德,安乡,水务,,,,,,,社投,,,#N/A
安乡县安拓新能源科技有限公司,存续,91430721MA4RQQ5E8K,湖南省,怀化,麻阳,,电力,,,,,,社投,,,#N/A
安乡县城市建设投资开发有限责任公司,存续,91430721755827065H,湖南省,常德,安乡,传统施工,,,,,,,公投,,,91430721755827065H
安乡县晟锐园林景观工程有限责任公司,存续,91430721MABXYHEN6A,湖南省,常德,安乡,传统施工,,,,,施工,,,,,#N/A
安乡县飞新园林绿化工程有限公司,存续,91430721MACAEAKQ10,湖南省,常德,安乡,传统施工,,,,,施工,,,,,#N/A
安乡县海川达水务有限公司,存续,91430721685044101L,湖南省,常德,安乡,水务,,,,,,,社投,,,91430721685044101L
安乡县金流水务有限公司,存续,91430721MA7DNG9B8H,湖南省,常德,安乡,水务,,,,,,,社投,,,#N/A
安乡县经泽燃气有限公司,存续,91430721MAE2942X7W,湖南省,永州,冷水滩,城市燃气,,,,,,,社投,,,#N/A
安乡县九申燃气有限公司,存续,91430721779036532A,湖南省,邵阳,新宁,城市燃气,,,,,,,社投,,,#N/A
安乡县珊湖环境治理有限公司,存续,91430721MA4RJ0UJ9U,湖南省,常德,安乡,环境环保,,,,,,,社投,,,#N/A
安乡县市政工程有限责任公司,存续,914307217328791101,湖南省,常德,安乡,传统施工,,,,,施工,,,,,#N/A
安乡县泰盈新能源科技有限公司,存续,91430721MACWJHBJ3J,湖南省,郴州,苏仙,,电力,,,,,,社投,,,#N/A
安乡县天助液化气有限责任公司,存续,91430721MADKPB7BXF,湖南省,益阳,安化,城市燃气,,,,,,,社投,,,#N/A
安乡县知林园林工程有限公司,存续,91430721MA4R6FB028,湖南省,常德,安乡,传统施工,,,,,施工,,,,,#N/A
安乡心泉管道直饮水有限公司,存续,91430721MA7JTL838C,湖南省,常德,安乡,供水(自来水）,,,,,,,社投,,,#N/A
安乡兴泰园林绿化有限公司,存续,91430721MA4Q7QYDXB,湖南省,常德,安乡,传统施工,,,,,施工,,,,,#N/A
奥士康科技股份有限公司,存续,914309006735991422,湖南省,益阳,益阳,,,,,工业服务,,,社投,,,#N/A
澳林建筑有限公司,存续,91430100MA4LN2PX32,湖南省,长沙,开福,传统施工,,,,,施工,,,,,#N/A
澳优乳业（中国）有限公司,存续,91430000753367798R,湖南省,长沙,望城,,,,,工业服务,,,社投,,,#N/A
澳优乳业股份有限公司,存续,51048467,湖南省,长沙,望城,,,,,工业服务,,,社投,,,#N/A
巴陵石化大成检修安装有限责任公司,存续,91430600186094446T,湖南省,岳阳,云溪,传统施工,,,,,施工,,,,,91430600186094446T
宝能电力建设有限公司,存续,91430122070585796W,湖南省,湘潭,湘乡,,,,,,施工,,,,,91430122070585796W
保靖博世科水务有限公司,存续,91433125MA4PGN584F,湖南省,湘西,保靖,水务,,,,,,,社投,,,#N/A
保靖诚兴污水处理有限责任公司,存续,91433125MA7CUNT79G,湖南省,湘西,保靖,供水(自来水）,,,,,,,社投,,,#N/A
保靖三合古建园林绿化工程有限公司,存续,91433125MA7L6WFF7H,湖南省,湘西,保靖,传统施工,,,,,施工,,,,,#N/A
保靖县第二建筑工程公司,存续,914331251897207561,湖南省,湘西,保靖,传统施工,,,,,施工,,,,,914331251897207561
保靖县第三建筑工程公司,存续,9143312588972474XK,湖南省,湘西,保靖,传统施工,,,,,施工,,,,,9143312588972474XK
保靖县第一建筑工程公司,存续,914331251897201585,湖南省,湘西,保靖,传统施工,,,,,施工,,,,,914331251897201585
保靖县发宏园林绿化有限公司,存续,91433125MA7BATR3XB,湖南省,湘西,保靖,传统施工,,,,,施工,,,,,#N/A
保靖县鸿创市政建设工程有限公司,存续,91430300MA4T4GFD87,湖南省,湘西,保靖,传统施工,,,,,施工,,,,,#N/A
保靖县汇洋新富能源有限公司,存续,91433125MACTXRM5X8,湖南省,郴州,北湖,,,,,,,,社投,,,#N/A
保靖县金鑫市政园林工程有限责任公司,存续,914331256639607238,湖南省,湘西,保靖,传统施工,,,,,施工,,,,,#N/A
保靖县利昌新能源有限公司,存续,91433125MA4TC6WD26,湖南省,益阳,南县,城市燃气,,,,,,,社投,,,#N/A
